Ticker;Nom;Secteur;Pays;Prix Actuel;Devise;Capitalisation (M);Année;Chiffre d'Affaires (M);Résultat Net (M);Marge Nette (%);ROE (%);Dette/Equity;PER (Trailing);Croissance CA 3ans (%);Croissance Bénéfice 3ans (%);Tendance
KGH.WA;KGHM Polska Miedz S.A.;Basic Materials;Poland;282.5;PLN;56500.0;2022;33847.0;4772.0;14.1;14.87;0.2;22.018705;4.35;-39.9;Stable
KGH.WA;KGHM Polska Miedz S.A.;Basic Materials;Poland;282.5;PLN;56500.0;2021;29803.0;6156.0;20.66;22.76;0.22;22.018705;4.35;-39.9;Stable
MBG.DE;Mercedes-Benz Group AG;Consumer Cyclical;Germany;60.91;EUR;58650.5;2024;145594.0;10207.0;7.01;11.02;1.0;9.399692;-2.95;-29.61;Stable
MBG.DE;Mercedes-Benz Group AG;Consumer Cyclical;Germany;60.91;EUR;58650.5;2023;152390.0;14261.0;9.36;15.54;0.96;9.399692;-2.95;-29.61;Stable
MBG.DE;Mercedes-Benz Group AG;Consumer Cyclical;Germany;60.91;EUR;58650.5;2022;150017.0;14501.0;9.67;16.98;0.99;9.399692;-2.95;-29.61;Stable
MBG.DE;Mercedes-Benz Group AG;Consumer Cyclical;Germany;60.91;EUR;58650.5;2021;133893.0;23006.0;17.18;31.97;1.3;9.399692;-2.95;-29.61;Stable
TEF.MC;Telefónica, S.A.;Communication Services;Spain;3.489;EUR;19689.4;2024;41315.0;-49.0;-0.12;-0.25;2.33;N/A;3.31;-102.44;Stable
TEF.MC;Telefónica, S.A.;Communication Services;Spain;3.489;EUR;19689.4;2023;40652.0;-892.0;-2.19;-4.08;2.02;N/A;3.31;-102.44;Stable
TEF.MC;Telefónica, S.A.;Communication Services;Spain;3.489;EUR;19689.4;2022;39993.0;2011.0;5.03;8.02;1.81;N/A;3.31;-102.44;Stable
TEF.MC;Telefónica, S.A.;Communication Services;Spain;3.489;EUR;19689.4;2021;39277.0;8137.0;20.72;36.64;2.17;N/A;3.31;-102.44;Stable
